"9780226034041";"http://www.olavodecarvalho.org/semana/090914dc.html";"A África às avessas"
"9780226034041";"https://youtu.be/jEL2NPwWCks";"Muslim Genocide on Black Africans Through Mass-Castration - Tidiane N´Diaye"
"9780226034041";"https://www.youtube.com/watch?v=Ov9GFPmoOPg";"The Untold Story of Arab Slave Trade Of Africans"
"9780671760830";"http://www.olavodecarvalho.org/semana/071126dc.html";"Como não enxergar a realidade";"Dos vários movimentos revolucionários ao longo da História, o único que teve o apoio maciço do proletariado foi o nazifascismo, isto é, precisamente aquele que a historiografia pró-comunista e o consenso da grande mídia insistem em definir como um movimento da pequena burguesia e do grande capital. O meticuloso estudo de James Pool (“ Who Financed Hitler: The Secret Funding of Hitler's Rise to Power, 1919- 1933” , Simon & Schuster, 1997 ) mostra que, malgrado exceções bem conhecidas, alemãs e estrangeiras (os Krupp; Henry Ford), o grosso da alta burguesia alemã via Hitler com extrema desconfiança e não lhe deu nenhuma ajuda substantiva. Até sua ascensão ao poder, que lhe forneceu por fim os meios de “colocar a burguesia de joelhos” (expressão do próprio Hitler), o Partido Nazista subsistiu principalmente das contribuições da militância operária, enquanto o Partido Comunista, na Europa e nos EUA, nadava em dinheiro da alta burguesia."
"9780002555166";"http://www.olavodecarvalho.org/semana/111031dc.html";"Uma lição tardia - I";"O esquerdismo é quase que invariavelmente uma tomada de posição militante, que, se não leva necessariamente o escritor a filiar-se a um partido, ao menos faz dele um “companheiro de viagem” cujo círculo de convivência é preferentemente escolhido (por ele ou pelo próprio círculo) entre correligionários ideológicos. O próprio Partido Comunista sempre se encarregou de fazer com que fosse assim: ao menor sinal de que um escritor ou artista tinha simpatias de esquerda, agentes comunistas tratavam de assediá-lo, infiltrando-se em todos os meios que o infeliz freqüentava e fazendo o que podiam para tirar o máximo proveito político de suas palavras e induzi-lo a atitudes cada vez mais militantes, tanto na vida quanto na obra (leiam Stephen Koch, Double Lives: Spies and Writers in the Secret Soviet War of Ideas Against the West, 1994)."
"9780300187823";"http://www.olavodecarvalho.org/semana/111031dc.html";"Uma lição tardia - I";"Lendo a bela resenha que Gertrud Himmelfarb consagrou na New Criterion de outubro ao livro recentíssimo de Adam Kirsch sobre Lionel Trilling (Why Trilling Matters, Yale Univ. Press, 2011), tento, em vão, medir a diferença entre um país onde se busca, com justiça, recuperar a memória perdida do grande crítico e outro país onde a influência dele jamais penetrou nem pode penetrar."
"9781590172834";"http://www.olavodecarvalho.org/semana/111031dc.html";"Uma lição tardia - I";"Foi com base em considerações dessa ordem que Lionel Trilling escreveu seu célebre estudo da ideologia americana dominante, The Liberal Imagination (1950). A palavra “liberal”, nos EUA, não tem nada a ver com o liberalismo econômico clássico que ela evoca espontaneamente no Brasil. Designa, bem ao contrário, o progressismo esquerdista que favorece os programas sociais, os impostos altos e o intervencionismo estatal, não raro o comunismo puro e simples. O progressismo, observava Trilling, era de fato a única tradição intelectual dos EUA. Entre o povo havia sentimentos conservadores, mas não, entre os intelectuais, uma história contínua de idéias conservadoras em debate. Daí a importância de examinar o fundo de símbolos e emoções por baixo das idéias esquerdistas em evidência. E a primeira coisa que o crítico aí notava era a rigidez esquemática das reações morais, a falta daquela abertura para a variedade e ambigüidade das situações humanas, que tão nitidamente transparecia entre os conservadores como Samuel Johnson, Edmund Burke, Samuel Taylor Coleridge, Mathew Arnold – ou, acrescento eu, Balzac, Dostoievski, Leonid Andreiev, Manzoni, Papini, Henry James, Conrad, Mauriac, Bernanos, Soljenítsin, V. S. Naipaul, Eugenio Corti.##NEWP##“Se o progressismo tem uma fraqueza desesperadora, é uma imaginação moral inadequada.” Inadequada porque simplista e irrealista. “O progressista pensa que o bom é bom e o mau é mau: ante a idéia de bom-e-mau, sua imaginação falha.”##NEWP##A diferença aparece com ênfase máxima na maneira como os romancistas traçam os personagens de seus virtuais antagonistas políticos. Os romances escritos pelos conservadores pululam de revolucionários, comunistas, anarquistas, terroristas e assassinos políticos retratados com toda a complexidade moral da sua vida interior e das situações que atravessam. Nos romances “de esquerda”, o adversário político quase sempre aparece sob forma caricatural, desumanizada ou monstruosa, sem qualquer atenuante, sem qualquer ambigüidade, sem qualquer concessão relativista ou mera simpatia humana."
"9781590172834";"https://www.newcriterion.com/issues/2011/10/lionel-trilling-the-critical-imagination";"Lionel Trilling & the critical imagination"
"9780300187823";"https://www.newcriterion.com/issues/2011/10/lionel-trilling-the-critical-imagination";"Lionel Trilling & the critical imagination"
"9780002555166";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"Para conhecer o espírito de uma geração é preciso estudar a psicologia dos líderes intelectuais cuja conduta lhe serviu de modelo. Ora, quando investigamos com certo detalhe as figuras dos mentores da esquerda mundial, principalmente das últimas décadas, encontramos entre eles um número de farsantes e vigaristas muito maior do que jamais houve em qualquer escola ou corrente de opinião ao longo de toda a história humana. E, quando falo em farsa e vigarice, não me refiro a meras idéias falsas, argumentos capciosos ou opiniões erradas. Refiro-me a fraudes no estrito sentido material e jurídico do termo: adulteração de documentos e citações, falsificação de testemunhos, invenção deliberada de episódios jamais ocorridos.##NEWP##O que estou dizendo não é novidade nenhuma, a rigor. O assunto já foi muito estudado. Desde as memórias de Arthur Koestler até Intellectuals de Paul Johnson, Double Lives de Stephen Koch, e The Politics of Bad Faith de David Horowitz, a bibliografia a respeito é tão grande e de tão vasto impacto que ninguém pode ignorá-la e pretender continuar opinando responsavelmente sobre a política contemporânea. Mas o atraso brasileiro na aquisição dessas informações é enorme."
"9780684856797";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"Para conhecer o espírito de uma geração é preciso estudar a psicologia dos líderes intelectuais cuja conduta lhe serviu de modelo. Ora, quando investigamos com certo detalhe as figuras dos mentores da esquerda mundial, principalmente das últimas décadas, encontramos entre eles um número de farsantes e vigaristas muito maior do que jamais houve em qualquer escola ou corrente de opinião ao longo de toda a história humana. E, quando falo em farsa e vigarice, não me refiro a meras idéias falsas, argumentos capciosos ou opiniões erradas. Refiro-me a fraudes no estrito sentido material e jurídico do termo: adulteração de documentos e citações, falsificação de testemunhos, invenção deliberada de episódios jamais ocorridos.##NEWP##O que estou dizendo não é novidade nenhuma, a rigor. O assunto já foi muito estudado. Desde as memórias de Arthur Koestler até Intellectuals de Paul Johnson, Double Lives de Stephen Koch, e The Politics of Bad Faith de David Horowitz, a bibliografia a respeito é tão grande e de tão vasto impacto que ninguém pode ignorá-la e pretender continuar opinando responsavelmente sobre a política contemporânea. Mas o atraso brasileiro na aquisição dessas informações é enorme."
"9780099438021";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"Kingsley Amis, o escritor inglês que consentiu em encobrir durante décadas as piores atrocidades comunistas, veio a descrever com exemplar realismo a natureza desse mecanismo, neste parágrafo citado por seu filho Martin Amis em Koba the Dread (New York, Hyperion, 2002):##NEWP##“Estamos lidando com um conflito entre sentimento e inteligência, uma forma de auto-engano voluntário na qual uma parte da mente sabe perfeitamente bem que sua crença de conjunto é falsa ou maliciosa, mas a necessidade emocional de crer é tão forte que o conhecimento permanece, por assim dizer, enquistado, isolado, impotente para influenciar as palavras ou as ações.”##NEWP##Qualquer ser humano afetado por essa patologia do espírito torna-se incapaz de julgar sua própria conduta, quanto mais as dos outros. E a classe dos “formadores de opinião” no Brasil compõe-se quase que inteiramente desses indivíduos."
"9781595550118";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"Por isso um resumo geral torna-se aí de muita utilidade. Em Hoodwinked. How Intellectual Hucksters Have Hijacked American Culture (“Ludibriados. Como os camelôs intelectuais seqüestraram a cultura americana”, Nashville, TN, Nelson Current, 2005), o jornalista Jack Cashill fornece um mostruário dos episódios mais célebres de vigarice explícita entre os pop stars da esquerda. Embora o foco seja o cenário americano, as fontes européias e latino-americanas são abordadas com extensão suficiente para dar ao diagnóstico um alcance mundial.##NEWP##Os casos são tantos, e tão grosseira a patifaria em cada um deles, que nenhum leitor isento pode deixar de concluir que, definitivamente, há algo de errado na mentalidade esquerdista. Não é possível que multidões tão vastas cultuem personagens tão desonestos, mesquinhos e desprezíveis sem que haja nisso o sintoma de um embotamento moral alarmante."
"9780099362814";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"O historiador Alex Hailey ganhou milhões com a reconstituição de suas origens familiares africanas no livro Raízes , que virou uma série de TV de enorme sucesso e foi adotado como leitura multicultural obrigatória em todas as escolas públicas americanas. Um processo na justiça mostrou que essa obra de “não ficção” não passava de plágio... de um romance! O autor do romance recebeu uma polpuda indenização mas concordou em não divulgar o escândalo, que só veio a ser noticiado, com a discrição exigida pelo código de decência politicamente correto, anos depois da sua morte."
"9781844674183";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"A guatemalteca Rigoberta Menchú, por exemplo, ganhou o Prêmio Nobel e a Légion d'Honneur com uma autobiografia celebrada pela revista Chronicle of Higher Education como “um pilar fundamental do cânone multicultural”. O núcleo da narrativa era a infância sofrida de uma índia filha de camponeses expulsos de suas terras por grandes proprietários. Mais tarde comprovou-se que o pai de Rigoberta nunca tinha sido vítima desses proprietários, pela simples razão de que ele próprio era um deles. A tempestade de desculpas esfarrapadas que se seguiu foi tão grande quanto a onda de aplausos que a antecedeu."
"imdbtt0076245";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"Muita gente no Brasil deve ter visto o filme Julia , de Fred Zinemann, com Jane Fonda e Vanessa Redgrave, baseado nas memórias de Lilian Helmann, talvez a mais badalada escritora de esquerda nos EUA umas décadas atrás. O ponto culminante era a viagem heróica de Lilian pelo território alemão, em arriscada missão para as forças da resistência. Bem, na ocasião mencionada a escritora estava em plena segurança nos EUA. Ela simplesmente sugou os feitos de uma heroína anônima, colocando-se a si própria no papel principal. Investigações meticulosas sobre o restante do livro mostraram que Mary McCarthy não tinha exagerado muito ao dizer que tudo o que sua concorrente escrevia era mentira, 'incluindo as palavras e e o '."
"9781496424303";"http://www.olavodecarvalho.org/semana/050718dc.htm";"Museu de iniqüidades";"Walter Cronkite, o célebre comentarista de TV, provocou a ira do mundo contra a maldade das forças armadas americanas ao exibir o filme de uma garotinha vietnamita, nua e com queimaduras pelo corpo, correndo desesperada sob um bombardeio de napalm. Era quase impossível Crokite ignorar que nenhum americano havia participado direta ou indiretamente da operação, mesmo porque na época quase todas as tropas dos EUA já haviam saído do Vietnã. Ele jamais pediu desculpas. Nem jamais noticiou que a garotinha, Kim Phuc, cansada de ser usada como instrumento de propaganda comunista enganosa, fugiu para o Ocidente e hoje mora no Canadá."
"9780099362814";"https://www.beliefnet.com/columnists/attheintersectionoffaithandculture/2012/03/alex-haleys-fraudulent-roots.html";"Alex Haley’s Fraudulent Roots";"In fact, to describe Roots merely as “fiction” is to treat Haley with more charity than he deserves.  In at least three critical respects, Haley was downright dishonest."
"9781844674183";"https://www.americanthinker.com/articles/2009/10/rigoberta_menchu_won_the_nobel.html";"Rigoberta Menchu Won The Nobel Peace Prize Too";"The left's attraction to the obviously false is nothing new. For well nigh a century, in fact, the world's intellectual elite has been crafting and enabling fraud on a wide range of critical subjects and, when the mood strikes, awarding intellectual deceit with Nobel Peace Prizes.##NEWP##When the Nobel Peace Prize committee met to award its 1992 prize, the choices were many and good[:] Ronald Reagan, [...] Margaret Thatcher or Pope John Paul II or the Soviet dissidents. They did not and never would [select one of these].##NEWP##No, this being 1992, the five-hundredth anniversary of Colombus's "discovery" of the Americas, the committee members took the opportunity to rub its thumb in America's eye. They awarded the Nobel Peace Prize for 1992 to a Guatemalan woman, an "indigena" by the name of Rigoberta Menchu.##NEWP##Other than her age, twenty-three at the time of the narrative, just about every other contention in the book is conspicuously false.   The most problematic deceit involved her father. "My father fought for twenty-two years," recalls Rigoberta, "waging a heroic struggle against the landowners who wanted to take our land and our neighbors land." The reality was a bit different. In fact, Vicente Menchu was an army veteran and a relatively prosperous landowner, who shared in a community grant of about ten square miles of property."
"imdbtt0076245";"https://www.sott.net/article/245104-Pathological-Liar-New-Biography-of-Lillian-Hellman-Shows-Her-True-Character";"Pathological Liar? New Biography of Lillian Hellman Shows Her True Character";"As McCarthy looked into what Hellman claimed was this true story, and Hellman's role in it, the story's credibility began to falter. Evidence emerged that Hellman may have "borrowed" the tale without attribution from the life story of a woman named Muriel Gardiner, who was active in anti-Fascist resistance -- but who, unlike Julia, survived the war. In fact, as McCarthy's team examined the facts, details of Hellman's own life didn't correspond with known evidence of such resistance efforts. Far from being a true story, it started to become clear that there was no "Julia" and that Hellman never helped with such resistance efforts."
"9781496424303";"https://www.newsmax.com/john-gizzi/vietnam-tet-north-vietnamese-walter-cronkite/2018/01/30/id/840229/";"Fake News Bungles Vietnam's Tet Offensive 50 Years Ago";"As President Trump rails against “fake news,” Jan. 30 marks 50th anniversary of one of the most egregious examples of fake news in modern history: the Tet Offensive.##NEWP##Perhaps most devastating to the war effort was the post-Tet interpretation of pundits and commentators. In a commentary on CBS-TV in February, anchorman Walter Cronkite concluded: “To say that we are closer to victory today is to believe in the face of the evidence, the optimists who have been wrong in the past. But it is increasingly clear to this reporter that the only rational way out then will be to negotiate, not as victors, but as an honorable people who lived up to their pledge to defend democracy, and did the best they could.”##NEWP##Upon watching the popular Cronkite, President Johnson is said to have remarked: “If I’ve lost Cronkite, I’ve lost America.” From there, the CBS anchorman stepped up his anti-war commentaries. Opposition to the U.S. effort in Vietnam mushroomed, Johnson chose not to seek re-election, and calls for a negotiated settlement that would get U.S. troops home rapidly displaced sentiment for a military victory against North Vietnam.##NEWP##The rest, as they say, is history."
"9781496424303";"https://www.christianitytoday.com/ct/2018/may/napalm-girl-kim-phuc-phan-thi-fire-road.html";"These Bombs Led Me to Christ";"The “Napalm Girl” from a famous Vietnam War photo tells her story of coming to faith."
"9781496424303";"https://www.catholicamericanthinker.com/vietnam-war.html";"The Vietnam War - Media disinformation from the beginning";"This page describes the Vietnam war for the Catholic American Thinker, and the treacherous way it was reported. It shows, in graphic detail, how the American people were lied to by the SLIMC1 on a massive scale, and how the self documenting liberal lies regarding the Vietnam war continue to this very day. They have never been refuted.##NEWP##As a classic example, probably everyone alive in America at the time has seen the famous photo of the little naked Vietnamese girl running and crying, her cloths burned off by napalm. The caption, invariably, says this was the result of American napalm bombing, leaving the impression that Americans typically napalmed villages. In truth, the Americans had left the area, the napalm was dropped by a Vietnamese Skyraider which was called in by a Vietnamese ground unit. The girl, a grown woman now, is pro-Democracy, not pro-Communism. The media could ask her, if they were interested. They could get the facts right, if they had any motivation. They could correct their own error, if they had any honor. But the story stands, and the indelible image remains etched in our minds."
"9780898701838";"http://www.olavodecarvalho.org/semana/060904dc.html";"Pela restauração intelectual do Brasil";"No plano intelectual, o estudante deve esforçar-se para obter a mais alta qualificação possível, adotando como modelos da sua auto-educação as práticas melhores registradas historicamente: as da Academia platônica, do Liceu aristotélico, da universidade européia no século XIII (com seus ecos residuais na filosofia cristã moderna, por exemplo La Vie Intellectuelle (A Vida Intelectual) de A. D. Sertillanges e Conseils sur la Vie Intellectuelle de Jean Guitton), da intelectualidade superior alemã no século XIX e austríaca no começo do século XX (tal como descrita, por exemplo, nos depoimentos de Eric Voegelin, Otto Maria Carpeaux e Marjorie Perloff) e, last not least, da tradição americana de liberal education (v., além do clássico How to Read a Book de Mortimer J. Adler, The Trivium, de Sister Miriam Joseph, Another Sort of Learning, de James V. Schall, e The House of Intellect, de Jacques Barzun)."
"9788588062863";"http://www.olavodecarvalho.org/semana/060904dc.html";"Pela restauração intelectual do Brasil";"No plano intelectual, o estudante deve esforçar-se para obter a mais alta qualificação possível, adotando como modelos da sua auto-educação as práticas melhores registradas historicamente: as da Academia platônica, do Liceu aristotélico, da universidade européia no século XIII (com seus ecos residuais na filosofia cristã moderna, por exemplo La Vie Intellectuelle (A Vida Intelectual) de A. D. Sertillanges e Conseils sur la Vie Intellectuelle de Jean Guitton), da intelectualidade superior alemã no século XIX e austríaca no começo do século XX (tal como descrita, por exemplo, nos depoimentos de Eric Voegelin, Otto Maria Carpeaux e Marjorie Perloff) e, last not least, da tradição americana de liberal education (v., além do clássico How to Read a Book de Mortimer J. Adler, The Trivium, de Sister Miriam Joseph, Another Sort of Learning, de James V. Schall, e The House of Intellect, de Jacques Barzun)."
"9780671212094";"http://www.olavodecarvalho.org/semana/060904dc.html";"Pela restauração intelectual do Brasil";"No plano intelectual, o estudante deve esforçar-se para obter a mais alta qualificação possível, adotando como modelos da sua auto-educação as práticas melhores registradas historicamente: as da Academia platônica, do Liceu aristotélico, da universidade européia no século XIII (com seus ecos residuais na filosofia cristã moderna, por exemplo La Vie Intellectuelle (A Vida Intelectual) de A. D. Sertillanges e Conseils sur la Vie Intellectuelle de Jean Guitton), da intelectualidade superior alemã no século XIX e austríaca no começo do século XX (tal como descrita, por exemplo, nos depoimentos de Eric Voegelin, Otto Maria Carpeaux e Marjorie Perloff) e, last not least, da tradição americana de liberal education (v., além do clássico How to Read a Book de Mortimer J. Adler, The Trivium, de Sister Miriam Joseph, Another Sort of Learning, de James V. Schall, e The House of Intellect, de Jacques Barzun)."
"9780967967509";"http://www.olavodecarvalho.org/semana/060904dc.html";"Pela restauração intelectual do Brasil";"No plano intelectual, o estudante deve esforçar-se para obter a mais alta qualificação possível, adotando como modelos da sua auto-educação as práticas melhores registradas historicamente: as da Academia platônica, do Liceu aristotélico, da universidade européia no século XIII (com seus ecos residuais na filosofia cristã moderna, por exemplo La Vie Intellectuelle (A Vida Intelectual) de A. D. Sertillanges e Conseils sur la Vie Intellectuelle de Jean Guitton), da intelectualidade superior alemã no século XIX e austríaca no começo do século XX (tal como descrita, por exemplo, nos depoimentos de Eric Voegelin, Otto Maria Carpeaux e Marjorie Perloff) e, last not least, da tradição americana de liberal education (v., além do clássico How to Read a Book de Mortimer J. Adler, The Trivium, de Sister Miriam Joseph, Another Sort of Learning, de James V. Schall, e The House of Intellect, de Jacques Barzun)."
"9780313200717";"http://www.olavodecarvalho.org/semana/060904dc.html";"Pela restauração intelectual do Brasil";"No plano intelectual, o estudante deve esforçar-se para obter a mais alta qualificação possível, adotando como modelos da sua auto-educação as práticas melhores registradas historicamente: as da Academia platônica, do Liceu aristotélico, da universidade européia no século XIII (com seus ecos residuais na filosofia cristã moderna, por exemplo La Vie Intellectuelle (A Vida Intelectual) de A. D. Sertillanges e Conseils sur la Vie Intellectuelle de Jean Guitton), da intelectualidade superior alemã no século XIX e austríaca no começo do século XX (tal como descrita, por exemplo, nos depoimentos de Eric Voegelin, Otto Maria Carpeaux e Marjorie Perloff) e, last not least, da tradição americana de liberal education (v., além do clássico How to Read a Book de Mortimer J. Adler, The Trivium, de Sister Miriam Joseph, Another Sort of Learning, de James V. Schall, e The House of Intellect, de Jacques Barzun)."
